"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"3 Day Parking Infraction","Parking Enforcement","28##","JOS ST LOUIS","WARD 8","Phone","JAN 03, 2024 12:02:21 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","WOODLAWN","WARD 4","E-Mail","JAN 04, 2024 08:47:19 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","LENS","WARD 4","E-Mail","JAN 04, 2024 09:05:31 AM"
"3 Day Parking Infraction","Parking Enforcement","27##","ROBERT","WARD 5","Phone","JAN 05, 2024 12:56:09 PM"
"3 Day Parking Infraction","Parking Enforcement","112##","TIMBER BAY","WARD 7","Phone","JAN 05, 2024 09:10:28 AM"
"3 Day Parking Infraction","Parking Enforcement","12##","MOY","WARD 4","Phone","JAN 05, 2024 09:38:41 AM"
"3 Day Parking Infraction","Parking Enforcement","14##","HELSINKI","WARD 9","Phone","JAN 09, 2024 09:09:45 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","KIRKLAND","WARD 7","Phone","JAN 10, 2024 02:25:04 PM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","JAN 10, 2024 03:11:29 PM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","JAN 15, 2024 08:18:31 AM"
"3 Day Parking Infraction","Parking Enforcement","23##","AUBIN","WARD 5","Phone","JAN 02, 2024 08:55:59 AM"
"3 Day Parking Infraction","Parking Enforcement","54##","LASSALINE","WARD 8","Phone","FEB 12, 2024 10:46:37 AM"
"3 Day Parking Infraction","Parking Enforcement","36##","MAGUIRE","WARD 9","Phone","FEB 12, 2024 08:55:18 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","LENS AVE & WELLESLEY AVE","WARD 4","E-Mail","FEB 07, 2024 08:55:35 AM"
"3 Day Parking Infraction","Parking Enforcement","11##","LENS","WARD 4","E-Mail","FEB 12, 2024 10:20:26 AM"
"3 Day Parking Infraction","Parking Enforcement","119##","THISTLEDOWN","WARD 7","Phone","FEB 27, 2024 12:03:07 PM"
"3 Day Parking Infraction","Parking Enforcement","23##","CALIFORNIA","WARD 10","Phone","JAN 17, 2024 12:24:16 PM"
"3 Day Parking Infraction","Parking Enforcement","42##","WHISKEY","WARD 1","Phone","JAN 19, 2024 09:59:36 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","BRUCE","WARD 3","Phone","JAN 19, 2024 10:52:15 AM"
"3 Day Parking Infraction","Parking Enforcement","11##","LENS","WARD 4","Phone","JAN 19, 2024 11:08:09 AM"
"3 Day Parking Infraction","Parking Enforcement","23##","CALIFORNIA","WARD 10","Phone","JAN 17, 2024 12:22:17 PM"
"3 Day Parking Infraction","Parking Enforcement","54##","LASSALINE","WARD 8","Phone","FEB 12, 2024 10:48:43 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","DOUGALL","WARD 3","Phone","FEB 20, 2024 11:32:27 AM"
"3 Day Parking Infraction","Parking Enforcement","12##","TOURANGEAU","WARD 5","Phone","FEB 01, 2024 02:33:32 PM"
"3 Day Parking Infraction","Parking Enforcement"," ","ALICE ST & ALBERT RD","WARD 5","E-Mail","JAN 03, 2024 09:33:12 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","BANWELL","WARD 7","Phone","JAN 03, 2024 10:55:50 AM"
"3 Day Parking Infraction","Parking Enforcement","118##","BOULDER","WARD 7","Phone","JAN 19, 2024 02:43:51 PM"
"3 Day Parking Infraction","Parking Enforcement","14##","PILLETTE","WARD 5","Phone","JAN 19, 2024 03:05:56 PM"
"3 Day Parking Infraction","Parking Enforcement","23##","TIMBERCREST","WARD 7","Phone","JAN 19, 2024 04:00:25 PM"
"3 Day Parking Infraction","Parking Enforcement","23##","CALIFORNIA","WARD 10","Phone","JAN 24, 2024 01:39:05 PM"
"3 Day Parking Infraction","Parking Enforcement","10##","JANETTE","WARD 3","Phone","FEB 06, 2024 08:46:05 AM"
"3 Day Parking Infraction","Parking Enforcement","11##","LENS","WARD 4","E-Mail","FEB 07, 2024 08:45:25 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","LENS AVE & WELLESLEY AVE","WARD 4","E-Mail","FEB 07, 2024 08:55:32 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","PARENT","WARD 4","Citizen Mobile Apps","FEB 07, 2024 10:44:52 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","DOUGALL","WARD 3","Phone","FEB 08, 2024 09:14:27 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","GATESIDE PL & GATESIDE CRT","WARD 6","Phone","FEB 12, 2024 01:32:46 PM"
"3 Day Parking Infraction","Parking Enforcement","24##","DUNESHILL","WARD 7","Web Intake","JAN 18, 2024 10:20:57 AM"
"3 Day Parking Infraction","Parking Enforcement","106##","WINSLOW","WARD 7","Phone","JAN 22, 2024 10:46:58 AM"
"3 Day Parking Infraction","Parking Enforcement","23##","TIMBERCREST","WARD 7","Citizen Mobile Apps","JAN 22, 2024 11:27:20 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","SILVERDALE","WARD 1","Phone","JAN 22, 2024 01:22:09 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","JAN 22, 2024 02:06:27 PM"
"3 Day Parking Infraction","Parking Enforcement","23##","CALIFORNIA","WARD 10","Phone","JAN 22, 2024 02:52:48 PM"
"3 Day Parking Infraction","Parking Enforcement","12##","VIRGINIA","WARD 6","Citizen Mobile Apps","JAN 22, 2024 03:17:04 PM"
"3 Day Parking Infraction","Parking Enforcement","12##","VIRGINIA","WARD 6","Citizen Mobile Apps","JAN 22, 2024 03:19:02 PM"
"3 Day Parking Infraction","Parking Enforcement","1##","BRIDGE","WARD 2","Phone","JAN 23, 2024 03:34:15 PM"
"3 Day Parking Infraction","Parking Enforcement","106##","WINSLOW","WARD 7","Phone","JAN 22, 2024 10:48:58 AM"
"3 Day Parking Infraction","Parking Enforcement","12##","RANKIN","WARD 2","Phone","JAN 15, 2024 10:05:20 AM"
"3 Day Parking Infraction","Parking Enforcement","25##","GEORGE","WARD 5","Phone","JAN 15, 2024 02:09:14 PM"
"3 Day Parking Infraction","Parking Enforcement","11##","LENS","WARD 4","Phone","JAN 16, 2024 10:42:34 AM"
"3 Day Parking Infraction","Parking Enforcement","21##","CURRY","WARD 10","Web Intake","JAN 16, 2024 11:57:07 AM"
"3 Day Parking Infraction","Parking Enforcement","21##","CURRY","WARD 10","Web Intake","JAN 16, 2024 11:57:10 AM"
"3 Day Parking Infraction","Parking Enforcement","14##","PELISSIER","WARD 3","Phone","JAN 03, 2024 03:01:46 PM"
"3 Day Parking Infraction","Parking Enforcement","35##","HEMLOCK","WARD 7","E-Mail","JAN 12, 2024 08:26:14 AM"
"3 Day Parking Infraction","Parking Enforcement","24##","DUNESHILL","WARD 7","Citizen Mobile Apps","JAN 12, 2024 08:44:22 AM"
"3 Day Parking Infraction","Parking Enforcement","34##","CARIBOU","WARD 9","Phone","JAN 12, 2024 10:25:07 AM"
"3 Day Parking Infraction","Parking Enforcement","21##","WOODLAWN","WARD 4","E-Mail","FEB 12, 2024 10:20:18 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","LENS AVE & WOODLAWN AVE","WARD 4","E-Mail","FEB 12, 2024 10:08:12 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","FOREST","WARD 4","Phone","FEB 12, 2024 10:22:21 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","FOREST","WARD 4","E-Mail","FEB 12, 2024 10:24:23 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","LENS AVE & FOREST AVE","WARD 4","Phone","FEB 12, 2024 10:26:26 AM"
"3 Day Parking Infraction","Parking Enforcement","42##","TUMBLEWEED","WARD 1","Citizen Mobile Apps","FEB 12, 2024 11:19:02 AM"
"3 Day Parking Infraction","Parking Enforcement","11##","HEATHFIELD","WARD 6","Phone","FEB 13, 2024 12:47:42 PM"
"3 Day Parking Infraction","Parking Enforcement","25##","LINCOLN","WARD 4","Phone","FEB 15, 2024 01:57:35 PM"
"3 Day Parking Infraction","Parking Enforcement"," ","GATESIDE CRT & GATESIDE PL","WARD 6","Phone","FEB 12, 2024 01:30:44 PM"
"3 Day Parking Infraction","Parking Enforcement","14##","ARTHUR","WARD 5","Citizen Mobile Apps","FEB 15, 2024 08:45:39 AM"
"3 Day Parking Infraction","Parking Enforcement","47##","BARCELONA","WARD 9","Phone","JAN 12, 2024 11:27:38 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","LENS AVE & FOREST AVE","WARD 4","E-Mail","JAN 12, 2024 03:13:19 PM"
"3 Day Parking Infraction","Parking Enforcement","25##","CHANDLER","WARD 5","Phone","JAN 12, 2024 03:51:36 PM"
"3 Day Parking Infraction","Parking Enforcement","38##","VAUGHAN","WARD 2","Phone","JAN 15, 2024 09:41:10 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","JAN 17, 2024 08:46:38 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","JAN 17, 2024 08:48:37 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","ALBERT RD & ALICE ST","WARD 5","E-Mail","JAN 17, 2024 08:50:42 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","ALBERT RD & ALICE ST","WARD 5","E-Mail","JAN 17, 2024 08:50:45 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","LENS AVE & FOREST AVE","WARD 4","Phone","JAN 16, 2024 10:44:36 AM"
"3 Day Parking Infraction","Parking Enforcement","46##","BUNKER","WARD 9","Phone","FEB 12, 2024 12:56:20 PM"
"3 Day Parking Infraction","Parking Enforcement","26##","TEEDIE","WARD 8","Phone","FEB 12, 2024 01:28:45 PM"
"3 Day Parking Infraction","Parking Enforcement"," ","GATESIDE CRT & GATESIDE PL","WARD 6","Phone","FEB 12, 2024 01:28:49 PM"
"3 Day Parking Infraction","Parking Enforcement","12##","GEORGE","WARD 5","Phone","FEB 12, 2024 03:52:28 PM"
"3 Day Parking Infraction","Parking Enforcement","19##","ETHAN","WARD 8","E-Mail","FEB 13, 2024 08:14:27 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","MAR 05, 2024 03:09:21 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","Phone","MAR 05, 2024 03:11:23 PM"
"3 Day Parking Infraction","Parking Enforcement","13##","DOUGALL","WARD 3","Phone","JAN 08, 2024 01:20:42 PM"
"3 Day Parking Infraction","Parking Enforcement","15##","CHURCH","WARD 3","Phone","MAR 08, 2024 12:14:30 PM"
"3 Day Parking Infraction","Parking Enforcement","4##","HALL","WARD 4","Phone","MAR 08, 2024 12:26:37 PM"
"3 Day Parking Infraction","Parking Enforcement","4##","HALL","WARD 4","Phone","MAR 11, 2024 10:52:14 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","FOREST","WARD 4","E-Mail","MAR 12, 2024 09:06:36 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","NORTHWAY AVE & LABELLE ST","WARD 10","Phone","FEB 21, 2024 10:12:51 AM"
"3 Day Parking Infraction","Parking Enforcement","8##","SHEPHERD","WARD 4","Phone","FEB 21, 2024 12:28:28 PM"
"3 Day Parking Infraction","Parking Enforcement","10##","PARENT","WARD 4","E-Mail","FEB 22, 2024 11:37:21 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","COVENTRY","WARD 6","Phone","FEB 22, 2024 01:02:14 PM"
"3 Day Parking Infraction","Parking Enforcement","4##","CARLING","WARD 6","Text","FEB 21, 2024 01:27:09 PM"
"3 Day Parking Infraction","Parking Enforcement","10##","PARENT","WARD 4","Phone","FEB 23, 2024 01:15:57 PM"
"3 Day Parking Infraction","Parking Enforcement","4##","LOUIS","WARD 4","Phone","MAR 05, 2024 01:34:13 PM"
"3 Day Parking Infraction","Parking Enforcement","9##","MATTHEW BRADY","WARD 6","Phone","JAN 29, 2024 04:00:29 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","FEB 01, 2024 08:12:49 AM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","FEB 01, 2024 08:18:50 AM"
"3 Day Parking Infraction","Parking Enforcement","6##","PRINCE","WARD 2","Phone","FEB 01, 2024 12:28:01 PM"
"3 Day Parking Infraction","Parking Enforcement"," ","WOODLAWN AVE & LENS AVE","WARD 4","E-Mail","FEB 05, 2024 10:15:48 AM"
"3 Day Parking Infraction","Parking Enforcement","15##","CHURCH","WARD 3","Phone","MAR 06, 2024 09:26:42 AM"
"3 Day Parking Infraction","Parking Enforcement","2##","LANGLOIS","WARD 4","Phone","MAR 06, 2024 09:30:45 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","ELSMERE","WARD 4","Phone","MAR 06, 2024 02:26:20 PM"
"3 Day Parking Infraction","Parking Enforcement","8##","SHEPHERD","WARD 4","Phone","MAR 06, 2024 02:36:32 PM"
"3 Day Parking Infraction","Parking Enforcement","107##","SPRINGHOLLOW","WARD 7","Phone","MAR 08, 2024 10:02:54 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","ROXBOROUGH","WARD 10","Phone","JAN 02, 2024 10:28:44 AM"
"3 Day Parking Infraction","Parking Enforcement","101##","SHENANDOAH","WARD 7","Phone","JAN 02, 2024 01:05:53 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","LAMONT","WARD 1","Phone","JAN 02, 2024 03:31:05 PM"
"3 Day Parking Infraction","Parking Enforcement","10##","LENS","WARD 4","E-Mail","JAN 04, 2024 09:03:34 AM"
"3 Day Parking Infraction","Parking Enforcement","45##","SASSAFRAS","WARD 9","Phone","JAN 05, 2024 12:46:04 PM"
"3 Day Parking Infraction","Parking Enforcement","10##","VICTORIA","WARD 3","Phone","JAN 12, 2024 12:30:06 PM"
"3 Day Parking Infraction","Parking Enforcement","3##","LINCOLN","WARD 4","Phone","JAN 12, 2024 02:57:13 PM"
"3 Day Parking Infraction","Parking Enforcement","15##","CHURCH","WARD 3","Phone","FEB 15, 2024 10:12:44 AM"
"3 Day Parking Infraction","Parking Enforcement","11##","MARION","WARD 4","Phone","FEB 21, 2024 01:59:35 PM"
"3 Day Parking Infraction","Parking Enforcement","25##","NORTHWAY","WARD 10","Phone","FEB 28, 2024 12:02:32 PM"
"3 Day Parking Infraction","Parking Enforcement","9##","ESDRAS","WARD 6","Phone","FEB 28, 2024 03:00:41 PM"
"3 Day Parking Infraction","Parking Enforcement","85##","FOXHILL","WARD 6","Phone","MAR 04, 2024 08:06:48 AM"
"3 Day Parking Infraction","Parking Enforcement","16##","CURRY","WARD 10","Phone","JAN 10, 2024 12:16:06 PM"
"3 Day Parking Infraction","Parking Enforcement","13##","LANGLOIS","WARD 4","Phone","JAN 10, 2024 01:14:32 PM"
"3 Day Parking Infraction","Parking Enforcement","15##","GLADSTONE","WARD 4","Phone","JAN 11, 2024 11:18:39 AM"
"3 Day Parking Infraction","Parking Enforcement","33##","WILDWOOD","WARD 7","Phone","JAN 29, 2024 03:32:08 PM"
"3 Day Parking Infraction","Parking Enforcement","19##","RANDOLPH","WARD 10","Phone","JAN 11, 2024 01:57:52 PM"
"3 Day Parking Infraction","Parking Enforcement","36##","ROCKWELL","WARD 1","Phone","JAN 18, 2024 09:16:22 AM"
"3 Day Parking Infraction","Parking Enforcement","36##","ROCKWELL","WARD 1","Phone","JAN 18, 2024 09:16:25 AM"
"3 Day Parking Infraction","Parking Enforcement","93##","AIRE","WARD 6","Phone","JAN 18, 2024 11:57:36 AM"
"3 Day Parking Infraction","Parking Enforcement","98##","HOLLY","WARD 7","Phone","JAN 18, 2024 01:34:18 PM"
"3 Day Parking Infraction","Parking Enforcement","8##","HALL","WARD 4","Phone","JAN 18, 2024 02:00:31 PM"
"3 Day Parking Infraction","Parking Enforcement","2##","BUCKINGHAM","WARD 6","Phone","JAN 18, 2024 03:47:19 PM"
"3 Day Parking Infraction","Parking Enforcement"," ","ALICE ST & ALBERT RD","WARD 5","E-Mail","JAN 22, 2024 02:04:26 PM"
"3 Day Parking Infraction","Parking Enforcement","21##","WOODLAWN","WARD 4","E-Mail","JAN 12, 2024 03:11:19 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","JAN 17, 2024 08:48:39 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","PARENT","WARD 4","Citizen Mobile Apps","JAN 17, 2024 10:23:20 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","OVERLAND","WARD 7","Phone","JAN 17, 2024 10:55:35 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","Phone","JAN 11, 2024 01:21:32 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","ROXBOROUGH","WARD 10","Phone","JAN 11, 2024 03:16:32 PM"
"3 Day Parking Infraction","Parking Enforcement","10##","SILVERDALE","WARD 1","Phone","JAN 15, 2024 10:39:36 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","JAN 15, 2024 02:07:13 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","JAN 11, 2024 01:23:33 PM"
"3 Day Parking Infraction","Parking Enforcement","45##","SASSAFRAS","WARD 9","Phone","JAN 09, 2024 02:50:20 PM"
"3 Day Parking Infraction","Parking Enforcement","11##","LILLIAN","WARD 4","Phone","JAN 25, 2024 03:33:49 PM"
"3 Day Parking Infraction","Parking Enforcement","6##","ARGYLE","WARD 4","Phone","JAN 30, 2024 08:32:25 AM"
"3 Day Parking Infraction","Parking Enforcement","9##","MARION","WARD 4","Phone","FEB 29, 2024 01:49:16 PM"
"3 Day Parking Infraction","Parking Enforcement","1##","OAK","WARD 3","Phone","MAR 04, 2024 02:03:07 PM"
"3 Day Parking Infraction","Parking Enforcement","11##","HICKORY","WARD 5","Phone","MAR 11, 2024 10:11:45 AM"
