"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"3 Day Parking Infraction","Parking Enforcement","46##","BUNKER","WARD 9","Phone","JAN 24, 2024 08:40:33 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","OAK","WARD 3","Phone","JAN 24, 2024 11:33:40 AM"
"3 Day Parking Infraction","Parking Enforcement","16##","GREENVIEW","WARD 2","Phone","JAN 24, 2024 11:49:47 AM"
"3 Day Parking Infraction","Parking Enforcement","21##","BRUCE","WARD 3","Phone","JAN 24, 2024 03:02:07 PM"
"3 Day Parking Infraction","Parking Enforcement","13##","COPPERFIELD","WARD 6","Phone","JAN 26, 2024 02:32:18 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","NORTHWAY","WARD 10","Phone","MAR 11, 2024 10:21:51 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","MAR 18, 2024 09:55:25 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","MAR 18, 2024 09:53:26 AM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","MAR 18, 2024 10:29:41 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","COVENTRY","WARD 6","Citizen Mobile Apps","MAR 18, 2024 11:09:59 AM"
"3 Day Parking Infraction","Parking Enforcement","4##","MOY","WARD 4","Phone","FEB 16, 2024 03:28:11 PM"
"3 Day Parking Infraction","Parking Enforcement","4##","HALL","WARD 4","Phone","FEB 20, 2024 03:00:55 PM"
"3 Day Parking Infraction","Parking Enforcement","10##","JANETTE","WARD 3","Phone","FEB 26, 2024 08:40:54 AM"
"3 Day Parking Infraction","Parking Enforcement","2##","JOSEPHINE","WARD 2","Phone","FEB 26, 2024 09:23:24 AM"
"3 Day Parking Infraction","Parking Enforcement","11##","LENS","WARD 4","E-Mail","FEB 26, 2024 12:51:56 PM"
"3 Day Parking Infraction","Parking Enforcement","10##","MARENTETTE","WARD 4","Phone","FEB 26, 2024 02:10:51 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","FEB 27, 2024 09:13:04 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","FEB 27, 2024 09:13:08 AM"
"3 Day Parking Infraction","Parking Enforcement","5##","JANETTE","WARD 3","Phone","FEB 22, 2024 10:12:14 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","MAR 06, 2024 09:24:40 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","GILES","WARD 4","Phone","MAR 06, 2024 12:00:33 PM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","MAR 06, 2024 02:12:10 PM"
"3 Day Parking Infraction","Parking Enforcement","24##","MERCER","WARD 3","Phone","MAR 06, 2024 02:38:29 PM"
"3 Day Parking Infraction","Parking Enforcement","8##","PRADO","WARD 6","E-Mail","MAR 06, 2024 03:16:59 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","LANGLOIS","WARD 4","Phone","MAR 08, 2024 11:21:52 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","LANGLOIS","WARD 4","Phone","MAR 14, 2024 03:47:43 PM"
"3 Day Parking Infraction","Parking Enforcement","15##","CHURCH","WARD 3","Phone","MAR 13, 2024 03:54:43 PM"
"3 Day Parking Infraction","Parking Enforcement","18##","MOY","WARD 4","Citizen Mobile Apps","MAR 14, 2024 11:41:49 AM"
"3 Day Parking Infraction","Parking Enforcement","2##","ELLIOTT","WARD 3","Phone","JAN 18, 2024 11:15:22 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","ROXBOROUGH","WARD 10","Phone","JAN 26, 2024 09:26:39 AM"
"3 Day Parking Infraction","Parking Enforcement","19##","MCKAY","WARD 10","Phone","JAN 26, 2024 01:05:15 PM"
"3 Day Parking Infraction","Parking Enforcement","6##","ASSUMPTION","WARD 4","Phone","JAN 30, 2024 08:58:44 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","JANETTE","WARD 3","Phone","JAN 30, 2024 01:11:47 PM"
"3 Day Parking Infraction","Parking Enforcement","26##","CLEMENCEAU","WARD 8","Phone","JAN 31, 2024 09:26:16 AM"
"3 Day Parking Infraction","Parking Enforcement","42##","WHISKEY","WARD 1","Phone","JAN 31, 2024 10:55:27 AM"
"3 Day Parking Infraction","Parking Enforcement","15##","CHANDLER","WARD 5","Phone","JAN 31, 2024 11:11:32 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","PARENT","WARD 4","Phone","FEB 02, 2024 10:01:31 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","WIGLE","WARD 2","Phone","FEB 02, 2024 11:02:20 AM"
"3 Day Parking Infraction","Parking Enforcement","8##","SHEPHERD","WARD 4","Phone","FEB 02, 2024 01:48:15 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","WOODLAWN","WARD 4","Text","FEB 05, 2024 10:09:44 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","LENS AVE & FOREST AVE","WARD 4","E-Mail","FEB 05, 2024 11:04:24 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","LENS AVE & FOREST AVE","WARD 4","E-Mail","FEB 05, 2024 11:04:26 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","FOREST","WARD 4","E-Mail","FEB 05, 2024 11:08:26 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","JANETTE","WARD 3","Phone","FEB 06, 2024 08:44:03 AM"
"3 Day Parking Infraction","Parking Enforcement","4##","HALL","WARD 4","Phone","FEB 06, 2024 10:29:18 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","MARENTETTE","WARD 4","Phone","FEB 06, 2024 01:13:16 PM"
"3 Day Parking Infraction","Parking Enforcement","119##","THISTLEDOWN","WARD 7","Phone","FEB 13, 2024 09:57:40 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","NORTHWAY AVE & LABELLE ST","WARD 10","Phone","FEB 14, 2024 11:11:57 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","FOREST","WARD 4","E-Mail","FEB 16, 2024 11:19:11 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","FOREST","WARD 4","E-Mail","FEB 16, 2024 11:25:17 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","JANETTE","WARD 3","Phone","FEB 15, 2024 12:46:43 PM"
"3 Day Parking Infraction","Parking Enforcement","10##","JANETTE","WARD 3","Phone","FEB 15, 2024 12:48:44 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","FEB 27, 2024 09:13:09 AM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","FEB 27, 2024 10:50:15 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","KIRKLAND","WARD 7","Citizen Mobile Apps","MAR 04, 2024 10:38:34 AM"
"3 Day Parking Infraction","Parking Enforcement","4##","HALL","WARD 4","Phone","FEB 26, 2024 10:14:01 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","MARENTETTE","WARD 4","Phone","FEB 26, 2024 02:12:52 PM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","FEB 28, 2024 01:21:31 PM"
"3 Day Parking Infraction","Parking Enforcement"," ","LENS AVE & WOODLAWN AVE","WARD 4","E-Mail","FEB 05, 2024 11:10:27 AM"
"3 Day Parking Infraction","Parking Enforcement","21##","WOODLAWN","WARD 4","Phone","FEB 05, 2024 11:40:49 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","WOODLAWN","WARD 4","E-Mail","FEB 05, 2024 11:46:52 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","WIGLE","WARD 2","Phone","FEB 02, 2024 11:04:16 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","JANETTE","WARD 3","Phone","FEB 02, 2024 01:34:02 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","ROXBOROUGH","WARD 10","Citizen Mobile Apps","FEB 05, 2024 11:34:49 AM"
"3 Day Parking Infraction","Parking Enforcement","16##","ELSMERE","WARD 4","Phone","JAN 24, 2024 12:56:46 PM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","JAN 25, 2024 08:18:35 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","LANGLOIS","WARD 4","Phone","JAN 25, 2024 08:40:51 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","LENS AVE & WOODLAWN AVE","WARD 4","E-Mail","JAN 25, 2024 09:37:31 AM"
"3 Day Parking Infraction","Parking Enforcement","21##","WOODLAWN","WARD 4","E-Mail","JAN 25, 2024 09:37:33 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","LENS AVE & FOREST AVE","WARD 4","E-Mail","JAN 25, 2024 09:39:34 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","LENS AVE & WELLESLEY AVE","WARD 4","E-Mail","JAN 25, 2024 09:41:34 AM"
"3 Day Parking Infraction","Parking Enforcement","16##","ELSMERE","WARD 4","Phone","JAN 24, 2024 12:58:37 PM"
"3 Day Parking Infraction","Parking Enforcement","27##","CURRY","WARD 10","Phone","FEB 13, 2024 11:42:57 AM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","FEB 16, 2024 08:25:05 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","JANETTE","WARD 3","Phone","FEB 16, 2024 10:30:36 AM"
"3 Day Parking Infraction","Parking Enforcement","9##","CAMPBELL","WARD 2","E-Mail","FEB 16, 2024 12:42:11 PM"
"3 Day Parking Infraction","Parking Enforcement","10##","JANETTE","WARD 3","Phone","FEB 20, 2024 08:36:20 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","WOODLAWN","WARD 4","Phone","FEB 20, 2024 09:20:57 AM"
"3 Day Parking Infraction","Parking Enforcement","4##","CARLING","WARD 6","Text","FEB 20, 2024 02:40:38 PM"
"3 Day Parking Infraction","Parking Enforcement","14##","ARTHUR","WARD 5","Phone","FEB 20, 2024 03:13:02 PM"
"3 Day Parking Infraction","Parking Enforcement","11##","LENS","WARD 4","E-Mail","FEB 22, 2024 11:41:20 AM"
"3 Day Parking Infraction","Parking Enforcement","21##","WOODLAWN","WARD 4","E-Mail","FEB 22, 2024 11:43:18 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","FOREST","WARD 4","E-Mail","FEB 22, 2024 11:45:22 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","FOREST","WARD 4","E-Mail","FEB 22, 2024 11:47:23 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","FOREST","WARD 4","E-Mail","FEB 22, 2024 12:23:48 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","FOREST","WARD 4","E-Mail","FEB 22, 2024 12:25:48 PM"
"3 Day Parking Infraction","Parking Enforcement","10##","JANETTE","WARD 3","Phone","FEB 20, 2024 08:32:18 AM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","FEB 20, 2024 10:49:56 AM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","FEB 23, 2024 03:11:20 PM"
"3 Day Parking Infraction","Parking Enforcement","15##","ELSMERE","WARD 4","Citizen Mobile Apps","JAN 19, 2024 11:48:28 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","MARENTETTE","WARD 4","Phone","JAN 22, 2024 09:06:14 AM"
"3 Day Parking Infraction","Parking Enforcement","19##","VENETIAN","WARD 7","Web Intake","FEB 20, 2024 11:38:28 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","KIRKLAND","WARD 7","Phone","FEB 20, 2024 02:02:12 PM"
"3 Day Parking Infraction","Parking Enforcement","35##","WOLFE","WARD 2","Phone","MAR 01, 2024 01:20:38 PM"
"3 Day Parking Infraction","Parking Enforcement","31##","RIBERDY","WARD 9","Phone","MAR 05, 2024 11:42:53 AM"
"3 Day Parking Infraction","Parking Enforcement","19##","VENETIAN","WARD 7","Citizen Mobile Apps","MAR 05, 2024 01:40:16 PM"
"3 Day Parking Infraction","Parking Enforcement","19##","VENETIAN","WARD 7","Citizen Mobile Apps","MAR 05, 2024 01:54:26 PM"
"3 Day Parking Infraction","Parking Enforcement","13##","UNIVERSITY","WARD 2","Phone","MAR 06, 2024 02:08:11 PM"
"3 Day Parking Infraction","Parking Enforcement","36##","WOLFE","WARD 2","Phone","JAN 23, 2024 02:39:35 PM"
"3 Day Parking Infraction","Parking Enforcement","11##","LENS","WARD 4","E-Mail","JAN 29, 2024 10:24:30 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","LENS","WARD 4","Phone","JAN 29, 2024 10:30:45 AM"
"3 Day Parking Infraction","Parking Enforcement","31##","CONSERVATION","WARD 9","Phone","JAN 29, 2024 10:32:36 AM"
"3 Day Parking Infraction","Parking Enforcement","96##","MELVILLE","WARD 7","Phone","JAN 29, 2024 11:55:34 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","CATARAQUI ST & HALL AVE","WARD 4","Phone","JAN 29, 2024 02:03:05 PM"
"3 Day Parking Infraction","Parking Enforcement"," ","HALL AVE & CATARAQUI ST","WARD 4","Phone","JAN 29, 2024 02:05:10 PM"
"3 Day Parking Infraction","Parking Enforcement"," ","LORAINE AVE & KILDARE RD","WARD 4","Phone","JAN 29, 2024 02:11:14 PM"
"3 Day Parking Infraction","Parking Enforcement","33##","WILDWOOD","WARD 7","Phone","JAN 29, 2024 03:34:09 PM"
"3 Day Parking Infraction","Parking Enforcement","9##","ESDRAS","WARD 6","Phone","JAN 30, 2024 02:00:21 PM"
"3 Day Parking Infraction","Parking Enforcement","4##","WINDERMERE","WARD 4","Citizen Mobile Apps","JAN 31, 2024 10:47:20 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","MARENTETTE","WARD 4","Phone","JAN 31, 2024 02:31:58 PM"
"3 Day Parking Infraction","Parking Enforcement","36##","WOLFE","WARD 2","Phone","JAN 23, 2024 02:43:38 PM"
"3 Day Parking Infraction","Parking Enforcement","11##","LENS","WARD 4","E-Mail","FEB 15, 2024 11:23:38 AM"
"3 Day Parking Infraction","Parking Enforcement","16##","FERNDALE","WARD 8","Citizen Mobile Apps","FEB 15, 2024 11:50:02 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","ROXBOROUGH","WARD 10","Phone","FEB 16, 2024 08:41:17 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","JANETTE","WARD 3","Phone","FEB 16, 2024 10:32:38 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","FOREST","WARD 4","E-Mail","FEB 16, 2024 11:21:11 AM"
"3 Day Parking Infraction","Parking Enforcement","11##","LENS","WARD 4","E-Mail","FEB 16, 2024 11:23:12 AM"
"3 Day Parking Infraction","Parking Enforcement","16##","FORD","WARD 8","Phone","FEB 16, 2024 11:25:21 AM"
"3 Day Parking Infraction","Parking Enforcement","21##","WOODLAWN","WARD 4","E-Mail","FEB 16, 2024 11:27:15 AM"
"3 Day Parking Infraction","Parking Enforcement","16##","ASSUMPTION","WARD 4","Phone","MAR 07, 2024 11:22:02 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","NORTHWAY","WARD 10","Phone","MAR 11, 2024 10:19:51 AM"
"3 Day Parking Infraction","Parking Enforcement","19##","VENETIAN","WARD 7","Phone","MAR 11, 2024 11:16:32 AM"
"3 Day Parking Infraction","Parking Enforcement","14##","ARTHUR","WARD 5","Phone","MAR 11, 2024 11:36:45 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","ASKIN","WARD 10","Phone","MAR 11, 2024 01:36:09 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","LAMONT","WARD 1","Phone","MAR 11, 2024 02:20:42 PM"
"3 Day Parking Infraction","Parking Enforcement"," ","TROUP CRES & URBAN LANE","WARD 7","Phone","MAR 12, 2024 09:18:48 AM"
"3 Day Parking Infraction","Parking Enforcement","30##","ERINDALE","WARD 9","Phone","MAR 12, 2024 10:35:22 AM"
"3 Day Parking Infraction","Parking Enforcement","1##","OAK","WARD 3","Phone","MAR 12, 2024 10:41:26 AM"
"3 Day Parking Infraction","Parking Enforcement","31##","RADISSON","WARD 1","Phone","MAR 12, 2024 01:16:34 PM"
"3 Day Parking Infraction","Parking Enforcement","33##","MCKAY","WARD 1","Phone","MAR 12, 2024 03:35:41 PM"
"3 Day Parking Infraction","Parking Enforcement","3##","RIVERSIDE","WARD 3","Phone","MAR 14, 2024 03:53:45 PM"
"3 Day Parking Infraction","Parking Enforcement","14##","PELISSIER","WARD 3","Phone","FEB 21, 2024 10:16:54 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","PARENT","WARD 4","Phone","FEB 21, 2024 03:42:52 PM"
"3 Day Parking Infraction","Parking Enforcement","6##","CATARAQUI","WARD 4","Phone","FEB 26, 2024 02:27:03 PM"
"3 Day Parking Infraction","Parking Enforcement","82##","GREGORY","WARD 6","Phone","MAR 04, 2024 10:00:08 AM"
"3 Day Parking Infraction","Parking Enforcement","14##","ARTHUR","WARD 5","Phone","MAR 04, 2024 03:24:01 PM"
"3 Day Parking Infraction","Parking Enforcement","11##","LENS","WARD 4","Phone","MAR 05, 2024 09:21:12 AM"
"3 Day Parking Infraction","Parking Enforcement","21##","WOODLAWN","WARD 4","E-Mail","MAR 05, 2024 09:43:27 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","KATELLA","WARD 7","Phone","MAR 05, 2024 09:49:29 AM"
"3 Day Parking Infraction","Parking Enforcement","54##","LASSALINE","WARD 8","Phone","MAR 05, 2024 12:43:45 PM"
"3 Day Parking Infraction","Parking Enforcement","54##","LASSALINE","WARD 8","Phone","MAR 05, 2024 12:49:43 PM"
"3 Day Parking Infraction","Parking Enforcement","16##","WINDSOR","WARD 3","Phone","MAR 05, 2024 01:38:15 PM"
"3 Day Parking Infraction","Parking Enforcement","12##","ABBEY","WARD 6","Citizen Mobile Apps","MAR 05, 2024 02:06:35 PM"
"3 Day Parking Infraction","Parking Enforcement","32##","AURORA","WARD 7","E-Mail","MAR 06, 2024 09:02:25 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","COVENTRY","WARD 6","Phone","MAR 07, 2024 12:44:58 PM"
